Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,score,label_value,Age_cat
1,2,1,0,1,4057,24,4,0,1,35-44
0,1,1,1,1,931,6,1,0,1,25-34
0,2,2,4,3,2901,10,1,0,0,25-34
1,1,2,0,0,684,12,3,0,1,35-44
1,3,0,0,0,7476,48,3,1,0,45+
0,2,2,2,3,2221,15,4,0,0,<25
1,2,2,0,0,4843,12,1,1,1,35-44
1,2,1,0,3,2515,18,4,0,0,35-44
1,2,1,3,0,3651,12,1,0,0,25-34
1,1,1,4,2,1494,4,1,0,0,25-34
1,0,0,4,1,5381,48,7,0,0,35-44
1,3,1,4,2,3399,12,5,0,0,35-44
1,2,1,0,0,1478,15,4,0,0,35-44
1,2,1,1,1,1449,6,0,0,0,25-34
1,1,1,0,1,1743,24,5,0,0,45+
1,2,1,0,3,3077,12,5,0,0,45+
1,2,2,0,3,1766,6,4,0,0,<25
1,2,1,4,1,2030,9,4,0,0,<25
0,1,1,1,3,1154,11,5,0,0,45+
0,2,1,0,0,4272,20,4,0,0,<25
1,2,1,1,1,5595,72,5,1,1,<25
1,1,2,0,0,2122,12,1,0,0,35-44
1,1,1,1,3,4139,24,0,0,0,25-34
1,2,0,4,3,846,7,5,0,0,35-44
0,2,1,1,3,1532,15,3,0,0,25-34
1,2,1,4,1,3976,21,4,0,0,35-44
1,1,1,2,1,766,12,5,0,1,45+
1,1,1,0,1,1246,24,1,1,1,<25
1,2,1,0,3,1542,12,0,0,0,35-44
1,2,1,4,3,929,24,4,0,0,25-34
1,2,1,0,3,3029,15,1,0,0,25-34
1,1,1,0,3,1533,18,4,0,1,35-44
1,2,0,4,1,6681,48,0,0,0,35-44
1,1,1,0,1,888,12,1,0,1,35-44
1,3,1,0,1,4297,18,4,0,1,35-44
1,3,1,0,2,1908,30,0,0,1,45+
1,3,1,2,3,3235,24,5,0,0,25-34
0,3,1,1,1,7408,60,1,1,1,<25
1,1,1,0,0,6568,24,0,1,0,<25
0,2,2,0,0,3632,24,1,1,0,<25
1,1,1,4,3,9436,54,1,0,0,35-44
